zip,json
00601,"{""latitude"": 18.180039999999998, ""longitude"": -66.75218000000001}"
00602,"{""latitude"": 18.36073, ""longitude"": -67.17517}"
00603,"{""latitude"": 18.45439, ""longitude"": -67.12201999999999}"
00606,"{""latitude"": 18.16724, ""longitude"": -66.93828}"
00610,"{""latitude"": 18.29032, ""longitude"": -67.12243000000001}"
00612,"{""latitude"": 18.40699, ""longitude"": -66.70803000000001}"
00616,"{""latitude"": 18.41753, ""longitude"": -66.66814000000001}"
00617,"{""latitude"": 18.44124, ""longitude"": -66.55917}"
00622,"{""latitude"": 17.99174, ""longitude"": -67.15248000000001}"
00623,"{""latitude"": 18.08355, ""longitude"": -67.15417}"
00624,"{""latitude"": 18.06465, ""longitude"": -66.71823}"
00627,"{""latitude"": 18.419, ""longitude"": -66.86033}"
00631,"{""latitude"": 18.18555, ""longitude"": -66.83327}"
00637,"{""latitude"": 18.07982, ""longitude"": -66.94274}"
00638,"{""latitude"": 18.28904, ""longitude"": -66.5151}"
00641,"{""latitude"": 18.26408, ""longitude"": -66.71376}"
00646,"{""latitude"": 18.43401, ""longitude"": -66.2833}"
00647,"{""latitude"": 17.96612, ""longitude"": -66.94383}"
00650,"{""latitude"": 18.34321, ""longitude"": -66.58601}"
00652,"{""latitude"": 18.45542, ""longitude"": -66.60635}"
00653,"{""latitude"": 17.98574, ""longitude"": -66.89033}"
00656,"{""latitude"": 18.0528, ""longitude"": -66.79182}"
00659,"{""latitude"": 18.41069, ""longitude"": -66.79648}"
00660,"{""latitude"": 18.134179999999997, ""longitude"": -67.11402}"
00662,"{""latitude"": 18.46208, ""longitude"": -67.01445}"
00664,"{""latitude"": 18.21152, ""longitude"": -66.5889}"
00667,"{""latitude"": 18.01227, ""longitude"": -67.04089}"
00669,"{""latitude"": 18.27102, ""longitude"": -66.86981999999999}"
00670,"{""latitude"": 18.23777, ""longitude"": -66.98877}"
00674,"{""latitude"": 18.421229999999998, ""longitude"": -66.49004000000001}"
00676,"{""latitude"": 18.3779, ""longitude"": -67.08083}"
00677,"{""latitude"": 18.3357, ""longitude"": -67.23168000000001}"
00678,"{""latitude"": 18.43269, ""longitude"": -66.92811999999999}"
00680,"{""latitude"": 18.16327, ""longitude"": -67.36195}"
00682,"{""latitude"": 18.22117, ""longitude"": -67.1538}"
00683,"{""latitude"": 18.10998, ""longitude"": -67.0373}"
00685,"{""latitude"": 18.33625, ""longitude"": -66.97225}"
00687,"{""latitude"": 18.317079999999997, ""longitude"": -66.4203}"
00688,"{""latitude"": 18.38056, ""longitude"": -66.62425}"
